experimentVariant,caseId,grievanceId,experimentState,failureReason,title,category,subcategory,sensitiveCategory,submissionTimestamp,aiDecisionTimestamp,aiLatencyMillis,finalStatus,assignedFaculty,priority,sentiment,aiResolved,aiConfidence,aiTitle,aiModelName,retrievedReferenceCount,retrievedReferenceIds,retrievedReferenceSources,top1SimilarityScore,averageRetrievedSimilarityScore
"rag_enabled","live-001-cia-marks-not-posted","143","completed",,"Internal exam marks still not visible","Academic","Exams","false","2026-04-12T20:10:19.644108","2026-04-12T20:10:48.563124","28919","IN_PROGRESS","examcell@college.edu","MEDIUM","NEGATIVE","false","0.765000","Internal exam marks not visible in portal","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","3","hist-001-cia-marks-not-posted|hist-004-elective-internal-missing|hist-003-practical-score-mismatch","manual-import|manual-import|manual-import","0.809962","0.729430"
"rag_enabled","live-002-absent-tagged-internal","144","completed",,"Marked absent in sessional test even after attending","Academic","Exams","false","2026-04-12T20:11:09.633921","2026-04-12T20:11:31.520235","21886","IN_PROGRESS","examcell@college.edu","MEDIUM","NEGATIVE","false","0.765000","Sessional test attendance marked incorrectly","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","3","hist-002-absent-tagged-internal|143|hist-004-elective-internal-missing","manual-import|application-grievance|manual-import","0.830872","0.734364"
"rag_enabled","live-003-practical-score-mismatch","145","completed",,"Practical marks in portal do not match faculty sheet","Academic","Exams","false","2026-04-12T20:11:52.187008","2026-04-12T20:12:12.67391","20486","IN_PROGRESS","examcell@college.edu","MEDIUM","NEGATIVE","false","0.765000","Practical marks mismatch between faculty sheet and portal","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","3","hist-003-practical-score-mismatch|143|hist-007-wrong-letter-grade","manual-import|application-grievance|manual-import","0.763717","0.726603"
"rag_enabled","live-004-elective-internal-missing","146","completed",,"Elective internal marks missing after update","Academic","Exams","false","2026-04-12T20:12:33.664582","2026-04-12T20:12:56.178695","22514","IN_PROGRESS","examcell@college.edu","MEDIUM","NEGATIVE","false","0.730000","Elective internal marks missing for section after update","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","3","hist-004-elective-internal-missing|143|hist-001-cia-marks-not-posted","manual-import|application-grievance|manual-import","0.835946","0.806886"
"rag_enabled","live-005-sgpa-miscalculation","147","completed",,"SGPA has not changed after approved grade correction","Academic","Grades","false","2026-04-12T20:13:17.135761","2026-04-12T20:13:39.857789","22722","IN_PROGRESS","faculty@college.edu","MEDIUM","NEGATIVE","false","0.765000","SGPA not updated after grade correction approval","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","3","hist-005-sgpa-miscalculation|hist-007-wrong-letter-grade|hist-008-grade-change-approved-not-updated","manual-import|manual-import|manual-import","0.811199","0.698743"
"rag_enabled","live-006-lab-grade-not-reflecting","148","completed",,"Lab course grade is blank in semester result","Academic","Grades","false","2026-04-12T20:14:00.584034","2026-04-12T20:14:23.935118","23351","IN_PROGRESS","faculty@college.edu","MEDIUM","NEGATIVE","false","0.765000","Lab course grade blank in semester result","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","3","hist-006-lab-grade-not-reflecting|143|146","manual-import|application-grievance|application-grievance","0.797583","0.699112"
"rag_enabled","live-007-wrong-letter-grade","149","completed",,"Portal is showing the wrong letter grade","Academic","Grades","false","2026-04-12T20:14:44.977712","2026-04-12T20:15:08.84919","23871","IN_PROGRESS","faculty@college.edu","MEDIUM","NEGATIVE","false","0.730000","Portal letter grade mismatch with grading policy","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","3","hist-007-wrong-letter-grade|145|hist-003-practical-score-mismatch","manual-import|application-grievance|manual-import","0.840086","0.722981"
"rag_enabled","live-008-grade-change-approved-not-updated","150","completed",,"Approved grade change has not updated on the portal","Academic","Grades","false","2026-04-12T20:15:29.43442","2026-04-12T20:15:49.714538","20280","IN_PROGRESS","faculty@college.edu","MEDIUM","POSITIVE","false","0.765000","Approved grade change not reflected on portal","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","3","hist-008-grade-change-approved-not-updated|147|149","manual-import|application-grievance|application-grievance","0.782251","0.750703"
"rag_enabled","live-009-biometric-missing-entries","151","completed",,"Biometric attendance entries are missing","Academic","Attendance","false","2026-04-12T20:16:09.890077","2026-04-12T20:16:32.449593","22559","IN_PROGRESS","faculty@college.edu","MEDIUM","NEGATIVE","false","0.765000","Missing biometric attendance entries in portal","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","3","hist-009-biometric-missing-entries|hist-012-duty-leave-not-updated|hist-010-tutorial-sync-delay","manual-import|manual-import|manual-import","0.827239","0.680181"
"rag_enabled","live-010-tutorial-sync-delay","152","completed",,"Tutorial attendance is not synced in ERP","Academic","Attendance","false","2026-04-12T20:16:53.270778","2026-04-12T20:17:15.505509","22234","IN_PROGRESS","faculty@college.edu","MEDIUM","NEGATIVE","false","0.700000","Tutorial attendance not synced to ERP","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","3","hist-010-tutorial-sync-delay|151|hist-012-duty-leave-not-updated","manual-import|application-grievance|manual-import","0.786821","0.703470"
